Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link,Salles d'eau,Toilettes,Surface séjour,Surface terrasse,Etage,Nbre d'étages,Exposition,Salles de bain,Vue,Environnement,Surface totale,Taxe foncière,Surface terrain,Taxe habitation
30/10/22,Le Diamant,97223,Appartement,Le DIAMANT - Résidence BLACK DIAMOND – Studio - 172 500 €,172805,1,0,26.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/229843694178663/,0,0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,LE DIAMANT EMPLACEMENT No1,315000,3,2,70.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/225204432272296/,1,1,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,DIAMANT / Face à la plage - joli T2 récent en RDC,175000,2,0,32.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/224125297421581/,1,1,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,PRODUIT EXCEPTIONNEL,288000,2,0,45.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/189112023665726/,1,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,PRODUIT EXCEPTIONNEL,395200,3,2,66.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/189112023665714/,1,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Le Diamant,97223,Appartement,PRODUIT EXCEPTIONNEL,293800,2,0,45.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/189112023665684/,1,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
04/01/23,Sainte Luce,97228,Appartement,T2 vue mer de Pierre et Vacances,152600,2,0,32.0,14.468281,-60.9214796,https://www.domimmo.com/martinique/immobilier/231443194558451/,1,1,15.0,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0
27/12/22,Sainte Luce,97228,Appartement,Studio Proche Plage,101000,1,0,29.0,14.468281,-60.9214796,https://www.domimmo.com/martinique/immobilier/221227427599518/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
07/11/22,Sainte Luce,97228,Appartement,TRES BEL APPARTEMENT T3 OFFRANT UNE BELLE VUE MER,265000,3,2,0.0,14.468281,-60.9214796,https://www.domimmo.com/martinique/immobilier/221171952511758/,2,2,30.0,16.0,2,2,0,0,Mer,Résidentiel,93.0,1327.0,0.0,0.0
30/10/22,Sainte Luce,97228,Appartement,Immeuble de rapport,491150,10,0,320.0,14.468281,-60.9214796,https://www.domimmo.com/martinique/immobilier/229845735770752/,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Sainte Luce,97228,Appartement,APPARTEMENT DANS RESIDENCE TOURISTIQUE,93500,1,0,0.0,14.468281,-60.9214796,https://www.domimmo.com/martinique/immobilier/227154408533973/,1,1,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Sainte Luce,97228,Appartement,Appartement Sainte Luce 3 pièce(s) 80.93 m2,169000,3,2,0.0,14.468281,-60.9214796,https://www.domimmo.com/martinique/immobilier/226154743289208/,0,0,0.0,0.0,0,3,0,1,0,0,0.0,0.0,5349.0,0.0
